case_id,customer_id,card_id,opened_at,closed_at,outcome,pattern,exposure_usd,n_txns,report_filed,analyst_notes
CC-3085,C02354,C02354-K2,2016-09-05 12:11:49,2016-09-10 00:11:49,confirmed_fraud,account_takeover,2328.05,6,true,"Case CC-3085: cardholder C02354 reported unrecognized activity on card C02354-K2. 6 transaction(s) between 2016-09-03 and 2016-09-05 totaling $2,328.05 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed."
CC-3537,C02354,C02354-K2,2016-09-16 03:31:31,2016-09-17 23:31:31,confirmed_fraud,out_of_region_use,275.93,2,false,"Case CC-3537: cardholder C02354 reported unrecognized activity on card C02354-K2. 2 transaction(s) between 2016-09-13 and 2016-09-14 totaling $275.93 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-3634,C02354,C02354-K2,2016-09-18 06:08:17,2016-09-20 06:08:17,confirmed_fraud,account_takeover,96.96,1,false,Case CC-3634: cardholder C02354 reported unrecognized activity on card C02354-K2. 1 transaction(s) between 2016-09-17 and 2016-09-17 totaling $96.96 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-3899,C02354,C02354-K2,2016-09-24 18:20:06,2016-09-30 05:20:06,confirmed_fraud,account_takeover,567.93,6,false,Case CC-3899: cardholder C02354 reported unrecognized activity on card C02354-K2. 6 transaction(s) between 2016-09-21 and 2016-09-24 totaling $567.93 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-4070,C02354,C02354-K2,2016-09-28 08:19:32,2016-10-03 14:19:32,confirmed_fraud,account_takeover,2064.03,3,true,"Case CC-4070: cardholder C02354 reported unrecognized activity on card C02354-K2. 3 transaction(s) between 2016-09-26 and 2016-09-27 totaling $2,064.03 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed."
CC-4436,C02354,C02354-K2,2016-10-06 05:49:05,2016-10-07 00:49:05,confirmed_fraud,out_of_region_use,2610.53,11,true,"Case CC-4436: cardholder C02354 reported unrecognized activity on card C02354-K2. 11 transaction(s) between 2016-09-29 and 2016-10-05 totaling $2,610.53 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-4721,C02354,C02354-K2,2016-10-11 22:12:18,2016-10-16 18:12:18,confirmed_fraud,out_of_region_use,1386.57,10,true,"Case CC-4721: cardholder C02354 reported unrecognized activity on card C02354-K2. 10 transaction(s) between 2016-10-07 and 2016-10-10 totaling $1,386.57 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-4942,C02354,C02354-K2,2016-10-17 13:58:18,2016-10-22 16:58:18,confirmed_fraud,out_of_region_use,1094.94,5,true,"Case CC-4942: cardholder C02354 reported unrecognized activity on card C02354-K2. 5 transaction(s) between 2016-10-14 and 2016-10-16 totaling $1,094.94 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-5441,C02354,C02354-K2,2016-10-29 16:31:52,2016-11-01 00:31:52,confirmed_fraud,out_of_region_use,2698.02,19,true,"Case CC-5441: cardholder C02354 reported unrecognized activity on card C02354-K2. 19 transaction(s) between 2016-10-18 and 2016-10-29 totaling $2,698.02 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-5558,C02354,C02354-K2,2016-11-01 12:12:15,2016-11-06 23:12:15,confirmed_fraud,card_not_present_fraud,8.2,1,false,Case CC-5558: cardholder C02354 reported unrecognized activity on card C02354-K2. 1 transaction(s) between 2016-10-31 and 2016-10-31 totaling $8.20 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-2400,C02923,C02923-K1,2016-08-20 20:57:31,2016-08-25 16:57:31,confirmed_fraud,account_takeover,350.99,3,false,Case CC-2400: cardholder C02923 reported unrecognized activity on card C02923-K1. 3 transaction(s) between 2016-08-18 and 2016-08-19 totaling $350.99 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-2717,C02923,C02923-K1,2016-08-28 16:04:23,2016-09-02 19:04:23,confirmed_fraud,account_takeover,896.08,6,false,Case CC-2717: cardholder C02923 reported unrecognized activity on card C02923-K1. 6 transaction(s) between 2016-08-25 and 2016-08-27 totaling $896.08 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a Windows on edge 15.0. Card blocked and reissued. Customer reimbursed.
CC-2857,C02923,C02923-K1,2016-09-01 00:18:13,2016-09-05 22:18:13,confirmed_fraud,account_takeover,539.97,2,false,Case CC-2857: cardholder C02923 reported unrecognized activity on card C02923-K1. 2 transaction(s) between 2016-08-30 and 2016-08-30 totaling $539.97 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0615,C03042,C03042-K1,2016-07-16 19:03:49,2016-07-21 00:03:49,confirmed_fraud,card_not_present_new_device,174.99,1,false,"Case CC-0615: cardholder C03042 reported unrecognized activity on card C03042-K1. 1 transaction(s) between 2016-07-16 and 2016-07-16 totaling $174.99 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed."
CC-1313,C03042,C03042-K1,2016-07-28 00:03:51,2016-07-28 22:03:51,cleared,none,0.0,1,false,Case CC-1313: model scored a $100.08 transaction at 0.87. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-3886,C03042,C03042-K1,2016-09-24 10:19:55,2016-09-27 07:19:55,confirmed_fraud,card_not_present_new_device,175.05,1,false,"Case CC-3886: cardholder C03042 reported unrecognized activity on card C03042-K1. 1 transaction(s) between 2016-09-23 and 2016-09-23 totaling $175.05 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari generic. Card blocked and reissued. Customer reimbursed."
CC-1383,C04570,C04570-K1,2016-07-29 01:30:41,2016-08-01 00:30:41,cleared,none,0.0,1,false,Case CC-1383: model scored a $99.98 transaction at 0.91. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0003,C05876,C05876-K2,2016-07-02 16:34:01,2016-07-05 13:34:01,cleared,none,0.0,1,false,Case CC-0003: model scored a $442.92 transaction at 0.91. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-2370,C05876,C05876-K2,2016-08-20 03:47:41,2016-08-22 20:47:41,confirmed_fraud,card_not_present_fraud,149.99,2,false,Case CC-2370: cardholder C05876 reported unrecognized activity on card C05876-K2. 2 transaction(s) between 2016-08-19 and 2016-08-19 totaling $149.99 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a rv:11.0 on ie 11.0 for desktop. Card blocked and reissued. Customer reimbursed.
CC-1475,C07671,C07671-K2,2016-07-31 00:50:27,2016-08-01 20:50:27,confirmed_fraud,account_takeover,1307.98,10,true,"Case CC-1475: cardholder C07671 reported unrecognized activity on card C07671-K2. 10 transaction(s) between 2016-07-26 and 2016-07-29 totaling $1,307.98 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed."
CC-3216,C07671,C07671-K2,2016-09-08 12:21:18,2016-09-12 01:21:18,confirmed_fraud,card_not_present_new_device,449.97,3,false,"Case CC-3216: cardholder C07671 reported unrecognized activity on card C07671-K2. 3 transaction(s) between 2016-09-08 and 2016-09-08 totaling $449.97 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari generic. Card blocked and reissued. Customer reimbursed."
CC-3761,C07671,C07671-K2,2016-09-21 02:32:39,2016-09-22 00:32:39,cleared,none,0.0,1,false,"Case CC-3761: model scored a $3,891.01 transaction at 0.89. Cardholder confirmed the purchase. Amount unusual for this customer but consistent with their stated intent. Alert cleared."
CC-4294,C07671,C07671-K2,2016-10-03 08:02:00,2016-10-08 22:02:00,confirmed_fraud,account_takeover,506.01,2,false,Case CC-4294: cardholder C07671 reported unrecognized activity on card C07671-K2. 2 transaction(s) between 2016-10-01 and 2016-10-02 totaling $506.01 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-2011,C07987,C07987-K2,2016-08-12 03:59:36,2016-08-17 22:59:36,confirmed_fraud,out_of_region_use,3059.89,5,true,"Case CC-2011: cardholder C07987 reported unrecognized activity on card C07987-K2. 5 transaction(s) between 2016-08-10 and 2016-08-11 totaling $3,059.89 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-2087,C07987,C07987-K2,2016-08-14 00:38:57,2016-08-16 18:38:57,cleared,none,0.0,1,false,Case CC-2087: model scored a $150.00 transaction at 0.94. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-2860,C07987,C07987-K2,2016-09-01 00:34:41,2016-09-02 14:34:41,confirmed_fraud,card_not_present_fraud,149.92,1,false,Case CC-2860: cardholder C07987 reported unrecognized activity on card C07987-K2. 1 transaction(s) between 2016-08-31 and 2016-08-31 totaling $149.92 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a rv:57.0 on firefox 57.0. Card blocked and reissued. Customer reimbursed.
CC-5026,C07987,C07987-K2,2016-10-19 12:21:43,2016-10-20 18:21:43,confirmed_fraud,out_of_region_use,309.86,3,false,"Case CC-5026: cardholder C07987 reported unrecognized activity on card C07987-K2. 3 transaction(s) between 2016-10-18 and 2016-10-18 totaling $309.86 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0696,C08106,C08106-K1,2016-07-18 05:30:15,2016-07-19 00:30:15,cleared,none,0.0,1,false,Case CC-0696: model scored a $13.68 transaction at 0.83. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-1736,C08106,C08106-K1,2016-08-06 00:08:22,2016-08-07 20:08:22,confirmed_fraud,card_not_present_fraud,9.9,1,false,Case CC-1736: cardholder C08106 reported unrecognized activity on card C08106-K1. 1 transaction(s) between 2016-08-05 and 2016-08-05 totaling $9.90 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on chrome 63.0. Card blocked and reissued. Customer reimbursed.
CC-2121,C08106,C08106-K1,2016-08-14 20:40:42,2016-08-16 01:40:42,confirmed_fraud,card_not_present_fraud,102.68,1,false,Case CC-2121: cardholder C08106 reported unrecognized activity on card C08106-K1. 1 transaction(s) between 2016-08-14 and 2016-08-14 totaling $102.68 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-3778,C08106,C08106-K1,2016-09-21 09:52:21,2016-09-25 23:52:21,confirmed_fraud,card_not_present_fraud,58.42,1,false,Case CC-3778: cardholder C08106 reported unrecognized activity on card C08106-K1. 1 transaction(s) between 2016-09-20 and 2016-09-20 totaling $58.42 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-1589,C08623,C08623-K2,2016-08-03 00:37:36,2016-08-05 21:37:36,cleared,none,0.0,1,false,Case CC-1589: model scored a $99.91 transaction at 0.94. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-2817,C08623,C08623-K2,2016-08-31 03:17:33,2016-09-03 20:17:33,confirmed_fraud,out_of_region_use,38.96,1,false,"Case CC-2817: cardholder C08623 reported unrecognized activity on card C08623-K2. 1 transaction(s) between 2016-08-30 and 2016-08-30 totaling $38.96 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-2935,C08623,C08623-K2,2016-09-02 08:49:06,2016-09-04 05:49:06,confirmed_fraud,out_of_region_use,238.0,2,false,"Case CC-2935: cardholder C08623 reported unrecognized activity on card C08623-K2. 2 transaction(s) between 2016-09-02 and 2016-09-02 totaling $238.00 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-3327,C08623,C08623-K2,2016-09-11 01:49:57,2016-09-13 04:49:57,confirmed_fraud,account_takeover,528.69,3,false,Case CC-3327: cardholder C08623 reported unrecognized activity on card C08623-K2. 3 transaction(s) between 2016-09-09 and 2016-09-10 totaling $528.69 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a SAMSUNG SM-S727VL Build/MMB29M on samsung browser 6.2. Card blocked and reissued. Customer reimbursed.
CC-3682,C08623,C08623-K2,2016-09-19 08:55:46,2016-09-24 03:55:46,confirmed_fraud,out_of_region_use,300.51,2,false,"Case CC-3682: cardholder C08623 reported unrecognized activity on card C08623-K2. 2 transaction(s) between 2016-09-17 and 2016-09-19 totaling $300.51 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-4957,C08623,C08623-K2,2016-10-18 00:16:26,2016-10-22 22:16:26,confirmed_fraud,out_of_region_use,48.02,1,false,"Case CC-4957: cardholder C08623 reported unrecognized activity on card C08623-K2. 1 transaction(s) between 2016-10-16 and 2016-10-16 totaling $48.02 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0104,C09933,C09933-K2,2016-07-05 15:32:11,2016-07-08 15:32:11,confirmed_fraud,out_of_region_use,92.02,1,false,"Case CC-0104: cardholder C09933 reported unrecognized activity on card C09933-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $92.02 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0657,C09933,C09933-K2,2016-07-17 08:58:08,2016-07-20 02:58:08,cleared,none,0.0,1,false,"Case CC-0657: model scored a $1,769.94 transaction at 0.90. Cardholder confirmed the purchase. Amount unusual for this customer but consistent with their stated intent. Alert cleared."
CC-0765,C09933,C09933-K2,2016-07-19 14:13:43,2016-07-24 19:13:43,confirmed_fraud,out_of_region_use,1664.54,13,true,"Case CC-0765: cardholder C09933 reported unrecognized activity on card C09933-K2. 13 transaction(s) between 2016-07-12 and 2016-07-18 totaling $1,664.54 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-1228,C09933,C09933-K2,2016-07-26 15:26:52,2016-07-28 17:26:52,confirmed_fraud,account_takeover,1112.65,10,true,"Case CC-1228: cardholder C09933 reported unrecognized activity on card C09933-K2. 10 transaction(s) between 2016-07-20 and 2016-07-25 totaling $1,112.65 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed."
CC-1524,C09933,C09933-K2,2016-08-01 05:19:36,2016-08-05 01:19:36,confirmed_fraud,account_takeover,3532.83,14,true,"Case CC-1524: cardholder C09933 reported unrecognized activity on card C09933-K2. 14 transaction(s) between 2016-07-28 and 2016-08-01 totaling $3,532.83 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed."
CC-1682,C09933,C09933-K2,2016-08-04 22:32:03,2016-08-06 20:32:03,confirmed_fraud,out_of_region_use,206.01,1,false,"Case CC-1682: cardholder C09933 reported unrecognized activity on card C09933-K2. 1 transaction(s) between 2016-08-04 and 2016-08-04 totaling $206.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-2565,C09933,C09933-K2,2016-08-24 23:06:30,2016-08-28 21:06:30,confirmed_fraud,out_of_region_use,513.8,6,false,"Case CC-2565: cardholder C09933 reported unrecognized activity on card C09933-K2. 6 transaction(s) between 2016-08-20 and 2016-08-23 totaling $513.80 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-2834,C09933,C09933-K2,2016-08-31 11:53:37,2016-09-03 18:53:37,confirmed_fraud,account_takeover,387.92,4,false,Case CC-2834: cardholder C09933 reported unrecognized activity on card C09933-K2. 4 transaction(s) between 2016-08-28 and 2016-08-30 totaling $387.92 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-2986,C09933,C09933-K2,2016-09-03 11:18:11,2016-09-05 01:18:11,confirmed_fraud,out_of_region_use,210.02,1,false,"Case CC-2986: cardholder C09933 reported unrecognized activity on card C09933-K2. 1 transaction(s) between 2016-09-03 and 2016-09-03 totaling $210.02 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-3136,C09933,C09933-K2,2016-09-06 17:41:27,2016-09-08 02:41:27,confirmed_fraud,account_takeover,73.99,1,false,Case CC-3136: cardholder C09933 reported unrecognized activity on card C09933-K2. 1 transaction(s) between 2016-09-06 and 2016-09-06 totaling $73.99 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-3439,C09933,C09933-K2,2016-09-13 20:39:39,2016-09-16 00:39:39,confirmed_fraud,out_of_region_use,454.82,3,false,"Case CC-3439: cardholder C09933 reported unrecognized activity on card C09933-K2. 3 transaction(s) between 2016-09-10 and 2016-09-13 totaling $454.82 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-3821,C09933,C09933-K2,2016-09-22 11:28:04,2016-09-27 23:28:04,confirmed_fraud,out_of_region_use,1137.05,6,true,"Case CC-3821: cardholder C09933 reported unrecognized activity on card C09933-K2. 6 transaction(s) between 2016-09-17 and 2016-09-21 totaling $1,137.05 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-4196,C09933,C09933-K2,2016-10-01 01:34:51,2016-10-05 20:34:51,confirmed_fraud,out_of_region_use,546.94,4,false,"Case CC-4196: cardholder C09933 reported unrecognized activity on card C09933-K2. 4 transaction(s) between 2016-09-27 and 2016-09-29 totaling $546.94 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-4277,C09933,C09933-K2,2016-10-03 00:39:11,2016-10-07 14:39:11,confirmed_fraud,out_of_region_use,209.86,1,false,"Case CC-4277: cardholder C09933 reported unrecognized activity on card C09933-K2. 1 transaction(s) between 2016-10-02 and 2016-10-02 totaling $209.86 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-4455,C09933,C09933-K2,2016-10-06 14:46:42,2016-10-10 17:46:42,confirmed_fraud,account_takeover,234.84,3,false,Case CC-4455: cardholder C09933 reported unrecognized activity on card C09933-K2. 3 transaction(s) between 2016-10-04 and 2016-10-05 totaling $234.84 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-4597,C09933,C09933-K2,2016-10-09 10:42:26,2016-10-15 00:42:26,confirmed_fraud,account_takeover,68.91,1,false,Case CC-4597: cardholder C09933 reported unrecognized activity on card C09933-K2. 1 transaction(s) between 2016-10-09 and 2016-10-09 totaling $68.91 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-4787,C09933,C09933-K2,2016-10-13 15:55:51,2016-10-17 18:55:51,confirmed_fraud,account_takeover,804.14,4,false,Case CC-4787: cardholder C09933 reported unrecognized activity on card C09933-K2. 4 transaction(s) between 2016-10-11 and 2016-10-12 totaling $804.14 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari generic. Card blocked and reissued. Customer reimbursed.
CC-5092,C09933,C09933-K2,2016-10-21 03:28:03,2016-10-26 20:28:03,confirmed_fraud,out_of_region_use,215.07,3,false,"Case CC-5092: cardholder C09933 reported unrecognized activity on card C09933-K2. 3 transaction(s) between 2016-10-18 and 2016-10-20 totaling $215.07 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-5521,C09933,C09933-K2,2016-10-31 13:33:09,2016-11-01 20:33:09,confirmed_fraud,account_takeover,730.52,9,false,Case CC-5521: cardholder C09933 reported unrecognized activity on card C09933-K2. 9 transaction(s) between 2016-10-24 and 2016-10-30 totaling $730.52 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari generic. Card blocked and reissued. Customer reimbursed.
CC-0873,C10434,C10434-K1,2016-07-21 11:56:18,2016-07-23 05:56:18,cleared,none,0.0,1,false,Case CC-0873: model scored a $50.05 transaction at 0.93. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-4160,C11891,C11891-K1,2016-09-30 08:59:51,2016-10-02 18:59:51,confirmed_fraud,card_not_present_fraud,90.54,1,false,Case CC-4160: cardholder C11891 reported unrecognized activity on card C11891-K1. 1 transaction(s) between 2016-09-29 and 2016-09-29 totaling $90.54 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a MotoE2(4G-LTE on chrome generic. Card blocked and reissued. Customer reimbursed.
CC-0031,C11923,C11923-K2,2016-07-04 01:23:36,2016-07-07 22:23:36,confirmed_fraud,card_not_present_new_device,20.36,1,false,"Case CC-0031: cardholder C11923 reported unrecognized activity on card C11923-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $20.36 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a Trident/7.0 on ie 11.0 for desktop. Card blocked and reissued. Customer reimbursed."
CC-0290,C11923,C11923-K2,2016-07-09 19:59:09,2016-07-10 23:59:09,confirmed_fraud,card_testing,144.56,8,false,"Case CC-0290: cardholder C11923 reported unrecognized activity on card C11923-K2. 8 transaction(s) between 2016-07-05 and 2016-07-08 totaling $144.56 were confirmed fraudulent. A run of very small online authorizations followed by a larger purchase, consistent with testing a stolen card number before use. Card blocked and reissued. Customer reimbursed."
CC-1056,C11923,C11923-K2,2016-07-24 02:41:55,2016-07-25 23:41:55,confirmed_fraud,card_not_present_new_device,1557.95,28,true,"Case CC-1056: cardholder C11923 reported unrecognized activity on card C11923-K2. 28 transaction(s) between 2016-07-11 and 2016-07-22 totaling $1,557.95 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed."
